"URL","Cena","Cena za m²","Adres","Powierzchnia (m²)","Liczba pokoi","Ogrzewanie","Rynek","Typ ogłoszeniodawcy","Rodzaj zabudowy","Rok budowy","Okna","Materiał budynku"
"https://www.otodom.pl/pl/oferta/dom-jednorodzinny-w-zabudowie-szeregowej-ID4tW62","1 999 000 zł","13 507 zł/m²","ul. Olchowa, Ujeścisko-Łostowice, Gdańsk, pomorskie","148m²","4 pokoje","gazowe","wtórny","prywatny","szeregowiec","2021","plastikowe","silikat"
"https://www.otodom.pl/pl/oferta/dzialka-budowlana-nowy-las-ID4wd5m","149 000 zł","2 129 zł/m²","Nowy Las, Głuchołazy, nyski, opolskie","70m²","3 pokoje","brak informacji","wtórny","biuro nieruchomości","wolnostojący","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/swietne-domy-garaz-600-m-od-stacji-pkp-wolomin-ID4t0xC","949 000 zł","8 614 zł/m²","Wołomin, Wołomin, wołomiński, mazowieckie","110.17m²","4 pokoje","gazowe","pierwotny","biuro nieruchomości","bliźniak","2025","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/dom-w-zabudowie-blizniaczej-imielnica-ID4wd5P","729 000 zł","6 395 zł/m²","ul. Lokalna, Płock, mazowieckie","114m²","5 pokoi","brak informacji","wtórny","biuro nieruchomości","bliźniak","1970","Brak danych","pustak"
"https://www.otodom.pl/pl/oferta/dom-z-garazem-i-dzialka-1300-m2-ID4taXL","559 000 zł","3 727 zł/m²","Knurów, gliwicki, śląskie","150m²","4 pokoje","brak informacji","wtórny","biuro nieruchomości","wolnostojący","Brak danych","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/dom-na-ul-bialejglinice-radom-ID4sh79","410 000 zł","5 000 zł/m²","ul. Biała, Glinice, Radom, mazowieckie","82m²","5 pokoi","gazowe","wtórny","biuro nieruchomości","wolnostojący","1985","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-z-budynkiem-uslugowym-barcino-kolo-kepic-sprze-ID4ufMM","439 000 zł","2 727 zł/m²","Barcino, Kępice, słupski, pomorskie","161m²","4 pokoje","węglowe","wtórny","biuro nieruchomości","wolnostojący","1997","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/obiekt-inwestycyjny-pod-ostroda-2-budynki-6lokali-ID4ryai","799 000 zł","2 370 zł/m²","Wirwajdy, Ostróda, ostródzki, warmińsko-mazurskie","337.12m²","10+ pokoi","piece kaflowe","wtórny","biuro nieruchomości","wolnostojący","1990","plastikowe","inny"
"https://www.otodom.pl/pl/oferta/dom-w-granicach-warszawy-ID4w3wD","1 182 460 zł","8 831 zł/m²","Pgr Kręczki Kaputy, Ożarów Mazowiecki, warszawski zachodni, mazowieckie","133.9m²","4 pokoje","pompa ciepła","pierwotny","biuro nieruchomości","szeregowiec","2025","plastikowe","inny"
"https://www.otodom.pl/pl/oferta/nieruchomosc-mieszkalno-uslugowa-w-centrum-ID4weam","790 000 zł","3 527 zł/m²","Lubań, lubański, dolnośląskie","224m²","2 pokoje","gazowe","wtórny","biuro nieruchomości","wolnostojący","2008","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/domek-rekreacyjny-w-lesie-nad-jeziorem-narie-ID4weoX","370 000 zł","10 000 zł/m²","Kretowiny, Morąg, ostródzki, warmińsko-mazurskie","37m²","3 pokoje","biomasa
elektryczne","wtórny","biuro nieruchomości","bliźniak","1980","Brak danych","drewno"
"https://www.otodom.pl/pl/oferta/domy-w-malinie-ID3uj0v","886 000 zł","6 922 zł/m²","Malin, Wisznia Mała, trzebnicki, dolnośląskie","128m²","5 pokoi","węglowe kominkowe gazowe","pierwotny","prywatny","szeregowiec","2021","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/mieszkanie-rokietnica-ID3glBY","549 000 zł","6 239 zł/m²","ul. Szkolna, Rokietnica, Rokietnica, poznański, wielkopolskie","88m²","3 pokoje","gazowe","pierwotny","biuro nieruchomości","bliźniak","2019","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/bez-prowizji-dom-z-duza-dzialka-3km-od-ID4weOG","1 150 000 zł","9 020 zł/m²","Bożnów, Żagań, żagański, lubuskie","127.5m²","4 pokoje","brak informacji","wtórny","biuro nieruchomości","wolnostojący","Brak danych","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/klasyczny-dom-z-ogrodem-w-premium-stylu-chorzow-ID4sNYD","1 800 000 zł","12 950 zł/m²","Maciejkowice, Chorzów Stary, Chorzów, śląskie","139m²","4 pokoje","gazowe","wtórny","biuro nieruchomości","bliźniak","2018","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/gotowy-na-nowy-rozdzial-w-swoim-zyciu-ID4uUau","720 000 zł","5 496 zł/m²","Wodzisław Śląski, wodzisławski, śląskie","131m²","4 pokoje","gazowe","pierwotny","biuro nieruchomości","wolnostojący","2024","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/owocowa-polana-nowoczesne-osiedle-dom-a6-2-ID4jeCA","479 000 zł","6 122 zł/m²","Psarskie, Śrem, śremski, wielkopolskie","78.24m²","4 pokoje","gazowe","pierwotny","deweloper","bliźniak","2024","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/dom-200-m-nowa-wies-wielka-ID4weUN","756 000 zł","3 780 zł/m²","Nowa Wieś Wielka, Nowa Wieś Wielka, bydgoski, kujawsko-pomorskie","200m²","7 pokoi","brak informacji","wtórny","biuro nieruchomości","brak informacji","Brak danych","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/segment-srodkowy-ok-110m2-b-ladna-okolica-ID4wetD","998 900 zł","9 139 zł/m²","Grodzisk Mazowiecki, Grodzisk Mazowiecki, grodziski, mazowieckie","109.3m²","4 pokoje","gazowe","wtórny","biuro nieruchomości","brak informacji","2010","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/4-pokojowy-dom-83m2-ogrodek-bez-posrednikow-ID4uwW6","550 000 zł","6 626 zł/m²","Skałowska, Gwiazdowo, Kostrzyn, poznański, wielkopolskie","83.01m²","4 pokoje","brak informacji","pierwotny","deweloper","brak informacji","2024","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/na-sprzedaz-polowa-domu-w-spokojnej-okolicy-ID4uZk5","320 000 zł","4 366 zł/m²","Niwica, Trzebiel, żarski, lubuskie","73.3m²","3 pokoje","węglowe","wtórny","biuro nieruchomości","brak informacji","Brak danych","drewniane","cegła"
"https://www.otodom.pl/pl/oferta/domy-rydzyna-ID3xVm3","499 000 zł","5 670 zł/m²","Rydzyńska, Dąbcze, Rydzyna, leszczyński, wielkopolskie","88m²","4 pokoje","gazowe","pierwotny","biuro nieruchomości","bliźniak","2018","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/komfortowy-dom-w-okolicy-gor-i-lasu-beskidu-malego-ID4uYYS","899 000 zł","5 619 zł/m²","ul. Słoneczna, Kozy, Kozy, bielski, śląskie","160m²","5 pokoi","gazowe kolektor słoneczny","wtórny","prywatny","wolnostojący","2005","plastikowe","inny"
