URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku,Latitude,Longitude
https://www.otodom.pl/pl/oferta/nowa-cena-3-pokojowe-mieszkanie-na-1-pietrze-ID4uAbK,285 000 zł,5 449 zł/m²,"Grodków, Grodków, brzeski, opolskie",52.3m²,3 pokoje,brak informacji,wtórny,prywatny,Brak danych,,Brak danych,Brak danych,50.698157,17.3849804
https://www.otodom.pl/pl/oferta/wyspianskiego-mieszkanie-4-pok-13-ID4pbBO,Brak danych,Brak danych,"ul. Stanisława Wyspiańskiego, Osiedle Wojska Polskiego, Olsztyn, warmińsko-mazurskie",82.52m²,4 pokoje,inne,pierwotny,deweloper,2025,,,Brak danych,53.78455,20.48262
https://www.otodom.pl/pl/oferta/wola-duchacka-trzypokojowe-z-jasna-kuchnia-ID4wgtw,690 000 zł,11 585 zł/m²,"ul. Edwarda Heila, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",59.56m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,1988,,,Brak danych,50.01678,19.96036
https://www.otodom.pl/pl/oferta/mieszkanie-deweloperskie-w-witnicy-ID4wgrw,256 575 zł,7 500 zł/m²,"Witnica, Witnica, gorzowski, lubuskie",34.21m²,1 pokój,gazowe,pierwotny,biuro nieruchomości,2025,,Brak danych,,52.6673743,14.8960523
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68m2-balkon-bez-prowizji-ID4uo36,1 168 319 zł,17 111 zł/m²,"ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie",68.28m²,3 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych,51.08454,17.0105
https://www.otodom.pl/pl/oferta/kawalerka-centrum-20m2-1-pietro-ID4tCym,133 000 zł,6 650 zł/m²,"ul. 9 Maja, Śródmieście, Kędzierzyn-Koźle, kędzierzyńsko-kozielski, opolskie",20m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,,,Brak danych,50.34698,18.22318
https://www.otodom.pl/pl/oferta/nowa-inwestycja-w-nysie-2pokoje-z-duzym-ogrodem-ID4phAu,373 800 zł,8 400 zł/m²,"Nysa, Nysa, nyski, opolskie",44.5m²,2 pokoje,miejskie,pierwotny,deweloper,2024,,,,50.4776491,17.3419525
https://www.otodom.pl/pl/oferta/2-pokoje-kuchnia-garderoba-balkon-krowodrza-ID4wgqq,760 000 zł,16 522 zł/m²,"ul. Mazowiecka, Krowodrza, Krowodrza, Kraków, małopolskie",46m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,1970,Brak danych,,Brak danych,50.07291,19.93126
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-markach-ID4tCug,745 000 zł,14 494 zł/m²,"al. marsz. Józefa Piłsudskiego, Marki, wołomiński, mazowieckie",51.4m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,1997,,,,52.30563785,21.09085685
https://www.otodom.pl/pl/oferta/2-pokoje-centrum-miasta-angel-city-parking-ID4w4Ae,999 000 zł,17 650 zł/m²,"ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",56.6m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2022,,,,51.10543,17.05061
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-76m2-loggia-bezposrednio-ID4ulXs,1 392 290 zł,18 296 zł/m²,"ul. Jana Dekerta, Zabłocie, Podgórze, Kraków, małopolskie",76.1m²,4 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych,50.04495,19.96278
https://www.otodom.pl/pl/oferta/segment-premium-w-atrakcyjnej-cenie-na-bialolece-ID4w1Wx,"1 221 347,22 zł",9 898 zł/m²,"ul. Kazimierza Pułaskiego, Henryków, Białołęka, Warszawa, mazowieckie",123.39m²,3 pokoje,brak informacji,pierwotny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-mokotowie-ID4wgpd,1 310 000 zł,17 013 zł/m²,"ul. Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie",77m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,2007,,Brak danych,,52.18356,21.02514
https://www.otodom.pl/pl/oferta/przy-wyciagu-narciarskim-karpatka-ID4wgqQ,830 000 zł,12 625 zł/m²,"ul. Bystra, Karpacz, karkonoski, dolnośląskie",65.74m²,3 pokoje,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych,50.78032,15.7559
https://www.otodom.pl/pl/oferta/bezposrednio-72-8m-kowale-2-balkony-garaz-ID4uCDx,799 000 zł,10 975 zł/m²,"Kowale, Psie Pole, Wrocław, dolnośląskie",72.8m²,3 pokoje,kotłownia,wtórny,prywatny,2008,,,,,
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-ogrodek-ID4unDK,Brak danych,Brak danych,"ul. Bieszczadzka, Wielki Kack, Gdynia, pomorskie",40.69m²,2 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,54.45046,18.45902
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-84m2-balkon-bez-prowizji-ID4ug6H,Brak danych,Brak danych,"ul. Czesława Miłosza, Redłowo, Gdynia, pomorskie",84.3m²,4 pokoje,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/ponizej-10-000-m2-gotowe-do-odbioru-zadzwon-ID4wgoa,600 998 zł,9 990 zł/m²,"Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie",60.16m²,3 pokoje,gazowe,pierwotny,biuro nieruchomości,Brak danych,,,Brak danych,51.17091,16.99637
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-62m2-ogrodek-ID4unDF,Brak danych,Brak danych,"ul. Bieszczadzka, Wielki Kack, Gdynia, pomorskie",62.04m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,54.45046,18.45902
